SNo,ObservationDate,Province,Country,LastUpdate,Confirmed,Deaths,Recovered
174,6/5/2020,,Nepal,6/5/2020 17:00,1,0,0
175,6/5/2020,,Malaysia,6/5/2020 17:00,3,0,0
176,6/5/2020,Unknown,China,6/5/2020 17:00,0,0,0
177,6/5/2020,,Kiribati,6/5/2020 17:00,0,0,0
178,6/5/2020,Hubei,Mainland China,6/5/2020 17:00,1058,52,42
179,6/5/2020,Guangdong,Mainland China,6/5/2020 17:00,111,0,2
180,6/5/2020,Zhejiang,Mainland China,6/5/2020 17:00,104,0,1
181,6/5/2020,Henan,Mainland China,6/5/2020 17:00,83,1,0
182,6/8/2020,Chongqing,Mainland China,6/8/2020 17:00,75,0,0
183,6/8/2020,Hunan,Mainland China,6/8/2020 17:00,69,0,0
184,6/8/2020,Beijing,Mainland China,6/8/2020 17:00,68,0,2
185,6/8/2020,Anhui,Mainland China,6/8/2020 17:00,60,0,0
186,6/8/2020,Shandong,Mainland China,6/8/2020 17:00,46,0,0
187,6/8/2020,Sichuan,Mainland China,6/8/2020 17:00,44,0,0
188,6/8/2020,Shanghai,Mainland China,6/8/2020 17:00,40,1,1
189,6/8/2020,Guangxi,Mainland China,6/8/2020 17:00,36,0,0
190,6/8/2020,Jiangxi,Mainland China,6/8/2020 17:00,36,0,0
191,6/8/2020,Fujian,Mainland China,6/8/2020 17:00,35,0,0
192,6/8/2020,Jiangsu,Mainland China,6/8/2020 17:00,33,0,1
193,6/8/2020,Hainan,Mainland China,6/8/2020 17:00,22,0,0
194,6/8/2020,Shaanxi,Mainland China,6/8/2020 17:00,22,0,0
195,6/8/2020,Liaoning,Mainland China,6/8/2020 17:00,21,0,0
196,6/8/2020,Yunnan,Mainland China,6/8/2020 17:00,16,0,0
197,6/8/2020,Heilongjiang,Mainland China,6/8/2020 17:00,15,1,0
198,6/8/2020,Tianjin,Mainland China,6/8/2020 17:00,14,0,0
199,6/8/2020,Hebei,Mainland China,6/8/2020 17:00,13,1,0
200,6/8/2020,Shanxi,Mainland China,6/8/2020 17:00,9,0,0
201,6/8/2020,Hong Kong,Hong Kong,6/8/2020 17:00,8,0,0
202,6/8/2020,Inner Mongolia,Mainland China,6/8/2020 17:00,7,0,0
203,6/8/2020,Gansu,Mainland China,6/8/2020 17:00,7,0,0
204,6/10/2020,Guizhou,Mainland China,6/10/2020 17:00,5,0,0
205,6/10/2020,Macau,Macau,1/26/2020 16:00,5,0,0
206,6/10/2020,Ningxia,Mainland China,1/26/2020 16:00,4,0,0
207,6/10/2020,Jilin,Mainland China,1/26/2020 16:00,4,0,0
208,6/10/2020,Taiwan,Taiwan,1/26/2020 16:00,4,0,0
209,6/10/2020,Xinjiang,Mainland China,1/26/2020 16:00,4,0,0
210,6/10/2020,Qinghai,Mainland China,1/26/2020 16:00,1,0,0
211,6/10/2020,Washington,US,1/26/2020 16:00,1,0,0
212,6/10/2020,Illinois,US,1/26/2020 16:00,1,0,0
213,6/10/2020,California,US,1/26/2020 16:00,2,0,0
214,6/10/2020,Arizona,US,1/26/2020 16:00,1,0,0
215,7/3/2020,,Japan,7/3/2020 16:00,4,0,1
216,7/3/2020,,Thailand,7/3/2020 16:00,8,0,6
217,7/3/2020,,South Korea,7/3/2020 16:00,3,0,0
218,7/3/2020,,Singapore,7/3/2020 16:00,4,0,0
219,7/3/2020,,Vietnam,7/3/2020 16:00,2,0,0
220,7/5/2020,,France,7/5/2020 16:00,3,0,0
221,7/5/2020,,Australia,7/5/2020 16:00,4,0,0
222,7/5/2020,,Nepal,7/5/2020 16:00,1,0,0
223,7/5/2020,,Malaysia,7/5/2020 16:00,4,0,0
224,7/5/2020,Ontario,Canada,7/5/2020 16:00,1,0,0
225,7/5/2020,Unknown,China,7/5/2020 16:00,0,0,0
226,7/5/2020,,Kiribati,7/5/2020 16:00,0,0,0
227,7/8/2020,Hubei,Mainland China,7/8/2020 16:00,1423,76,45
228,7/8/2020,Guangdong,Mainland China,7/8/2020 16:00,151,0,4
229,7/8/2020,Zhejiang,Mainland China,7/8/2020 16:00,128,0,1
230,7/8/2020,Henan,Mainland China,7/8/2020 16:00,128,1,0
231,7/8/2020,Chongqing,Mainland China,7/8/2020 16:00,110,0,0
232,7/8/2020,Hunan,Mainland China,7/8/2020 16:00,100,0,0
233,7/8/2020,Beijing,Mainland China,7/8/2020 16:00,80,1,2
234,7/10/2020,Shandong,Mainland China,7/10/2020 16:00,75,0,0
235,7/11/2020,Jiangxi,Mainland China,7/10/2020 16:00,72,0,2
236,7/15/2020,Anhui,Mainland China,7/15/2020 16:00,70,0,0
237,7/15/2020,Sichuan,Mainland China,7/15/2020 16:00,69,0,0
238,7/15/2020,Fujian,Mainland China,7/15/2020 16:00,59,0,0
239,7/15/2020,Shanghai,Mainland China,7/15/2020 16:00,53,1,3
240,7/15/2020,Jiangsu,Mainland China,7/15/2020 16:00,47,0,1
241,7/15/2020,Guangxi,Mainland China,7/15/2020 16:00,46,0,0
242,7/15/2020,Shaanxi,Mainland China,7/15/2020 16:00,35,0,0
243,7/15/2020,Hainan,Mainland China,7/15/2020 16:00,33,1,0
244,7/20/2020,Liaoning,Mainland China,7/20/2020 16:00,27,0,0
245,7/20/2020,Yunnan,Mainland China,7/20/2020 16:00,26,0,0
246,7/20/2020,Tianjin,Mainland China,7/20/2020 16:00,23,0,0
247,1/3/2019,Heilongjiang,Mainland China,1/3/2019 16:00,21,1,0
248,1/4/2019,Hebei,Mainland China,1/4/2019 16:00,18,1,0
249,1/5/2019,Gansu,Mainland China,1/5/2019 16:00,14,0,0
250,1/6/2019,Shanxi,Mainland China,1/6/2019 16:00,13,0,0
251,1/7/2019,Inner Mongolia,Mainland China,1/7/2019 16:00,11,0,0
252,1/8/2019,Hong Kong,Hong Kong,1/8/2019 16:00,8,0,0
253,1/9/2019,Guizhou,Mainland China,1/9/2019 16:00,7,0,0
254,1/10/2019,Ningxia,Mainland China,1/10/2019 16:00,7,0,0
255,1/11/2019,Jilin,Mainland China,1/11/2019 16:00,6,0,0
256,1/12/2019,Macau,Macau,1/12/2019 16:00,6,0,0
257,2/1/2019,Qinghai,Mainland China,2/1/2019 23:59,6,0,0
258,2/2/2019,Taiwan,Taiwan,2/2/2019 23:59,5,0,0
259,2/3/2019,Xinjiang,Mainland China,2/3/2019 23:59,5,0,0
260,2/4/2019,Washington,US,2/4/2019 23:59,1,0,0
261,2/5/2019,Illinois,US,2/5/2019 23:59,1,0,0
262,2/6/2019,California,US,2/6/2019 23:59,2,0,0
263,2/7/2019,Arizona,US,2/7/2019 23:59,1,0,0
264,2/8/2019,,Japan,2/8/2019 23:59,4,0,1
265,3/1/2019,,Thailand,3/1/2019 23:59,8,0,6
266,3/2/2019,,South Korea,3/2/2019 23:59,4,0,0
267,3/3/2019,,Singapore,3/3/2019 23:59,5,0,0
268,3/4/2019,,Vietnam,3/4/2019 23:59,2,0,0
269,3/5/2019,,France,3/5/2019 23:59,3,0,0
270,3/6/2019,,Nepal,3/6/2019 23:59,1,0,0
271,3/7/2019,,Malaysia,3/7/2019 23:59,4,0,0
272,3/8/2019,Ontario,Canada,3/8/2019 23:59,1,0,0
273,3/9/2019,,Cambodia,3/9/2019 23:59,1,0,0
274,3/10/2019,,Sri Lanka,3/10/2019 23:59,1,0,0
275,4/1/2019,,Ivory Coast,4/1/2019 23:59,1,0,0
276,4/2/2019,New South Wales,Australia,4/2/2019 23:59,4,0,0
277,4/3/2019,Victoria,Australia,4/3/2019 23:59,1,0,0
278,4/4/2019,Unknown,China,4/4/2019 23:59,0,0,0
279,4/5/2019,,Kiribati,4/5/2019 23:59,0,0,0
280,4/6/2019,Hubei,Mainland China,4/6/2019 23:59,3554,125,80
281,4/7/2019,Guangdong,Mainland China,4/7/2019 23:59,207,0,4
282,4/8/2019,Zhejiang,Mainland China,4/8/2019 23:59,173,0,3
283,4/9/2019,Henan,Mainland China,4/9/2019 23:59,168,1,0
284,5/2/2019,Hunan,Mainland China,5/2/2019 23:59,143,0,0
285,5/3/2019,Chongqing,Mainland China,5/3/2019 23:59,132,0,0
286,5/4/2019,Jiangxi,Mainland China,5/4/2019 23:59,109,0,3
287,5/5/2019,Anhui,Mainland China,5/5/2019 23:59,106,0,0
288,5/6/2019,Shandong,Mainland China,5/6/2019 23:59,95,0,0
289,5/7/2019,Beijing,Mainland China,5/7/2019 23:59,91,1,4
